disease,province,cases,source,timestamp
Dại,Hà Nội,30,https://vnexpress.net/ep-cha-me-tiem-vaccine-dai-5076543.html,2026-05-22 17:29:23
Dại,Hà Nội,30,https://vnexpress.net/ep-cha-me-tiem-vaccine-dai-5076543.html,2026-05-22 17:41:14
